AREA,CAR_NAME,CLASS,LAP_TIME,LINK
Landslide,LAMBORGHINI REVUELTO,B,0:34.252,https://youtu.be/cXTAqBMY3U0?si=ZvxTpyRTkyIcgPmV&t=8
Leaps & Bounds,FERRARI SF90 STRADALE,S,1:11.593,https://youtu.be/FSTvuvINfGQ?si=PNOjAo-4u5PcOWfI
Leaps & Bounds,MCLAREN F1 LM,B,1:11.635,https://youtu.be/JL20cVGVcJk?t=5
Leaps & Bounds,FERRARI LAFERRARI APERTA,A,1:12.180,https://youtu.be/66IjyEsCNIM
Leaps & Bounds,FERRARI F8 TRIBUTO,A,1:12.811,https://youtu.be/Htj72b5nVPI?t=5
Leaps & Bounds,PORSCHE 911 GT3 RS,B,1:12.922,https://youtu.be/Ve8xppbKt3U?si=heoyQDgZxrTKZ7xf&t=8
Leaps & Bounds,ASTON MARTIN DBS SUPERLEGGERA,B,1:13.839,https://youtu.be/hHh2CFbION8?t=17
Leaps & Bounds,PORSCHE CARRERA GT,B,1:14.046,https://youtu.be/r8XGmS9Otbs?t=373
Leaps & Bounds,FERRARI ENZO FERRARI,B,1:14.897,https://youtu.be/Nku2kn7cYIg?si=4Uuh28_jfL14yNMn&t=197
Leaps & Bounds,CHEVROLET CORVETTE GRAND SPORT,B,1:15.618,https://youtu.be/b1h1hhiYVfE?si=TjmXQAjakE8-6e_-&t=8
Leaps & Bounds,ACURA NSX GT3 EVO,C,1:18.341,https://youtu.be/9gWikY72k8Q?t=545
Leaps & Bounds,ACURA NSX,C,1:19.895,https://youtu.be/gVWAVgkDvqg?t=816
Lighthouse,JAGUAR XJR-9,A,0:38.797,https://youtu.be/69NCIegp-2k?si=nMcEcGkBhVf9zCEp&t=17
Lighthouse,PAGANI IMOLA,A,0:38.813,https://youtu.be/nR33HF0QydM?t=8
Lighthouse,MCLAREN 570S SPIDER,A,0:39.316,https://youtu.be/DHLYwtR3B4Q?t=333
Long Run,KOENIGSEGG JESKO,S,1:09.332,https://youtu.be/X11HA7PwpDE?t=5
Long Run,BUGATTI CHIRON,S,1:10.684,https://youtu.be/t9EMU2U-hR0
Long Run,BUGATTI DIVO,S,1:12.397,https://youtu.be/Oyjt3l6oK8E?si=Nw6Y0AMrXUzLW1hu&t=391
Long Run,LAMBORGHINI EGOISTA,S,1:18.164,https://youtu.be/JpatvtQH_Q4?si=PyX8NkyU2-RHtYVw&t=385
Metro,SSC TUATARA,S,0:34.874,https://youtu.be/VW_ZHkij7hA?si=mB4s8-VgbBBxy_P1&t=295
Metro,BUGATTI BOLIDE,S,0:34.966,https://youtu.be/UGo16MfXI_c?si=8jzvngjZQzDYT8gZ&t=330
Metro,HENNESSEY VENOM F5,S,0:34.989,https://youtu.be/RmuHUcP9GcY?si=DH1N_nvw55_JVqKO&t=491
Metro,KOENIGSEGG JESKO,S,0:35.879,https://youtu.be/i2zNjY2MIoc
Metro,RIMAC NEVERA,S,0:36.160,https://youtu.be/3zLfahp27m4?t=8
